hour,price_eur_mwh,wind_onshore,wind_offshore,solar,ror,biomass,lignite,hardcoal,ccgt_new,ccgt_exist,ocgt,oil,net_import_mwh,load_shed_mwh,storage_soc_mwh
133,3.0,73009.66666666667,19129.728260869564,12375.56125,1944.075,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,55585.74766992207
134,3.0,73297.44047619049,18418.614130434784,5032.3975,1932.6750000000002,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,64291.03559307297
135,3.0,77276.30357142857,15089.918478260868,353.62125,1945.8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,68370.37019245679
136,3.2652083333333333,80439.53373015873,8674.891304347826,37.839999999999996,1942.225,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,65894.33218279842
137,3.2652083333333333,79953.75,2679.293478260868,29.9925,2020.1250000000002,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,57453.95173297956
138,3.2652083333333333,80586.15873015873,2647.581521739129,24.24125,1983.55,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,51037.06752707301
139,3.2652083333333333,79856.59325396825,2085.4891304347802,22.1987499999785,1928.0249999999999,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,47328.535491399845
140,3.2652083333333333,78477.87103174602,1434.701086956519,21.66125,1921.7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,46542.21353762065
141,3.0,72251.62499999999,4575.896739130434,-0.0,1926.125,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,46701.599268731195
142,3.0,70287.68055555556,6520.923913043478,-0.0,1919.525,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,50795.58116662991
143,3.0,69340.43650793651,9523.04347826087,-0.0,1916.6250000000002,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,60277.29213039817
144,3.0,67702.05158730158,11122.173913043478,-0.0,1921.475,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,70283.80377688512
145,3.0,67659.88492063491,11224.076086956522,-0.0,1918.175,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,82391.6433534385
146,3.0,67538.81547619049,11317.5,-0.0,1911.975,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,93294.39225713929
147,3.0,66950.07936507936,11655.16304347826,8.2775,1908.9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,102217.82657627357
148,3.0,66580.07142857143,10469.918478260868,16.77,1911.15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,106400.0
149,75.42857142857143,69966.59325396825,8302.98913043478,22.091250000000002,1952.25,5504.836353294406,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,106400.0
