hour,price_eur_mwh,wind_onshore,wind_offshore,solar,ror,biomass,lignite,hardcoal,ccgt_new,ccgt_exist,ocgt,oil,net_import_mwh,load_shed_mwh,storage_soc_mwh
7899,150.0,10790.422619047618,2003.804347826085,7.6325,1969.95,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,-0.0,-0.0,77129.1591652485
7900,150.0,11108.954365079357,2234.347826086956,14.673750000000002,1989.475,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,3921.4573514197878,-0.0,77129.1591652485
7901,150.0,10988.569444444434,2240.625,20.37125,2048.925,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,14976.16967050554,-0.0,77129.1591652485
7902,162.77041666666668,10773.720238095237,2189.021739130434,75.67999999999999,2205.5999999999995,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,73361.27659280303
7903,162.77041666666668,10690.573412698408,1920.489130434783,1276.9387499999787,2185.275,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,65767.0870014177
7904,162.77041666666668,9869.966269841263,1462.010869565217,5580.70125,2030.275,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,60050.714452355896
7905,162.77041666666668,8511.73412698412,857.690217391302,10865.1325,2024.9,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,58048.644665457585
7906,162.77041666666668,7248.331349206343,998.6413043478241,13915.92875,1979.05,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,57557.43858521672
7907,162.77041666666668,6595.021825396817,1258.940217391302,13559.888749999998,1973.425,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,56426.7387145884
7908,162.77041666666668,6801.565476190474,1957.989130434783,10920.172499999979,1998.1,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,54103.92252813869
7909,162.77041666666668,7064.2400793650795,2591.168478260868,6663.172500000001,2005.8000000000002,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,49216.31530663287
7910,162.77041666666668,8044.067460317461,2736.603260869563,2181.3900000000003,2045.5,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,41004.91717165765
7911,162.77041666666668,9447.751984126975,2474.021739130434,215.43,2081.95,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,29642.770248679786
7912,162.77041666666668,9868.460317460316,2258.233695652173,181.245,2285.475,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,16574.64677155903
7913,162.77041666666668,9717.226190476185,2831.1684782608677,59.985,2287.35,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,6206.8723615942445
7914,162.77041666666668,10004.817460317448,3743.152173913044,29.24,2149.4749999999995,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,0.0
7915,150.0,11052.823412698408,4775.461956521736,41.8174999999785,2034.9499999999996,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,18648.332704590524,-0.0,0.0
7916,150.0,11650.047619047618,6235.190217391302,20.80125,1997.6999999999994,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,11903.788156108898,-0.0,0.0
7917,150.0,12594.188492063488,9841.875,-0.0,1998.325,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,2797.5665210945454,-0.0,0.0
